CLAIM DATE,TRADECODE,STATE,Completed,EasePlacing,TimetoSolution,CompleteSolution,ContractorKnowledge,ProfessionalContracter,KeptInformed,OverallSat,RenewalLiklhd,channel,cont_id,q10new,RenewalDate,Renewal,CustSatQual
1/1/2013,Plumbing,TX,1,5,3,4,4,4,2,2,1,Renewal,10271961704,0,NA,0,Dissatisfied
1/1/2013,Plumbing,VA,1,2,1,1,4,4,1,3,1,Renewal,10309895002,2,NA,0,Neutral
1/1/2013,Plumbing,CA,1,5,5,5,5,5,5,5,5,Direct To Consumer,10349945301,10,NA,0,Very Satisfied
1/1/2013,Air Conditioning,AZ,1,5,5,5,5,5,5,5,5,Renewal,10304564502,10,NA,0,Very Satisfied
1/2/2013,Air Conditioning,AZ,2,1,2,1,1,1,1,1,1,Real Estate,10335309101,0,NA,0,Very Dissatisfied
1/2/2013,Air Conditioning,UT,1,5,5,5,5,5,5,5,4,Real Estate,10354841201,10,NA,0,Very Satisfied
1/2/2013,Appliance,TX,1,5,4,5,5,5,3,5,5,Direct To Consumer,10317901402,10,NA,0,Very Satisfied
1/2/2013,Appliance,CA,1,5,1,1,1,1,1,1,1,Renewal,10164800211,0,NA,0,Very Dissatisfied
1/2/2013,Plumbing,KY,1,NA,NA,NA,NA,NA,NA,5,5,Real Estate,10331639101,9,NA,0,Very Satisfied
1/2/2013,Plumbing,VA,2,1,1,1,1,1,1,1,1,Real Estate,10341491601,0,NA,0,Very Dissatisfied
1/2/2013,M,UT,1,3,2,5,1,1,2,2,3,Real Estate,10358153601,4,NA,0,Dissatisfied
1/2/2013,Plumbing,OR,1,NA,NA,NA,NA,NA,NA,5,NA,Real Estate,10355403101,10,NA,0,Very Satisfied
1/2/2013,Appliance,CA,2,1,1,1,1,1,1,1,1,Real Estate,10360529001,0,NA,0,Very Dissatisfied
1/2/2013,Garage Door Opener,PA,1,NA,NA,NA,NA,NA,NA,2,2,Renewal,10310488902,1,NA,0,Dissatisfied
1/2/2013,Plumbing,CA,1,5,3,1,1,1,3,1,1,Real Estate,10332517701,0,NA,0,Very Dissatisfied
